index,len,data
54158,117,"[13,-2,14,-1,15,-1,15,-1,16,0,18,0,18,0,18,1,18,1,20,1,19,1,19,3,19,2,20,2,21,2,19,4,20,2,20,4,20,3,21,3,21,2,21,2,20,3,21,2,21,1,21,2,21,2,22,1,22,1,22,0,21,1,23,0,23,0,24,0,25,0,24,-1,24,-1,26,-1,26,-1,27,-3,28,-5,28,-3,28,-5,29,-6,29,-6,30,-6,31,-7,30,-10,31,-10,33,-10,32,-11,32,-10,33,-12,33,-12,32,-13,34,-14,34,-16,0,0,0,0,0,0,-17,-33,-18,-33,-20,-32,-18,-30,-18,-30,-19,-30,-20,-30,-20,-30,-19,-28,-18,-28,-19,-27,-19,-26,-19,-24,-21,-25,-20,-23,-19,-24,-21,-22,-21,-22,-21,-21,-20,-20,-21,-18,-20,-19,-20,-16,-20,-17,-20,-17,-20,-16,-20,-16,-20,-15,-21,-15,-20,-13,-19,-15,-21,-13,-21,-13,-21,-12,-19,-12,-22,-13,-22,-11,-22,-12,-22,-12,-20,-13,-20,-13,-20,-12,-20,-13,-21,-13,-20,-12,-19,-13,-20,-14,-20,-14,-18,-15,-17,-14,-16,-15,-14,-15,-15,-14,-13,-15,-12,-14,-9,-14,-9,-15]"
54159,117,"[10,6,10,8,13,8,13,8,13,9,13,10,12,11,14,13,15,11,15,12,15,12,14,12,16,12,16,13,15,12,15,13,16,11,15,11,16,12,15,12,17,12,18,11,17,9,17,10,18,9,18,8,19,9,19,7,21,7,21,6,19,6,22,5,22,4,23,4,24,2,24,3,24,2,26,0,26,0,27,0,28,0,27,-1,28,-3,30,-5,28,-3,29,-4,29,-5,30,-8,31,-9,31,-11,30,-12,31,-11,32,-14,30,-14,31,-17,32,-17,30,-19,0,0,0,0,0,0,-23,-29,-24,-28,-25,-26,-24,-26,-25,-25,-26,-24,-27,-22,-28,-22,-28,-21,-26,-20,-26,-18,-27,-16,-27,-15,-28,-15,-28,-14,-27,-12,-30,-10,-28,-9,-28,-9,-28,-9,-27,-7,-26,-6,-26,-4,-26,-4,-27,-4,-27,-1,-25,0,-25,0,-25,0,-24,1,-25,0,-25,1,-24,0,-24,1,-22,2,-24,3,-23,4,-24,4,-24,6,-23,4,-23,5,-24,5,-24,6,-24,6,-25,6,-23,5,-24,6,-23,7,-22,4,-23,4,-22,4,-20,3,-21,2,-21,2,-19,1,-17,0,-16,0]"
54160,117,"[1,-13,2,-14,2,-15,4,-16,5,-16,6,-16,7,-16,9,-16,9,-16,10,-16,12,-15,12,-16,14,-16,13,-15,14,-14,14,-14,15,-14,15,-13,15,-15,16,-14,16,-14,15,-13,15,-13,17,-13,16,-13,16,-13,16,-13,16,-12,17,-14,17,-13,16,-14,18,-15,18,-14,17,-14,18,-16,19,-15,18,-15,20,-15,21,-16,20,-16,21,-16,20,-16,23,-16,22,-18,22,-17,23,-17,22,-18,23,-20,26,-20,26,-20,26,-21,25,-18,27,-20,27,-20,28,-20,29,-22,29,-22,0,0,0,0,0,0,-21,-30,-20,-30,-20,-29,-19,-30,-19,-29,-20,-29,-19,-29,-17,-29,-17,-28,-18,-27,-16,-28,-16,-27,-18,-25,-17,-26,-16,-26,-15,-25,-16,-24,-16,-25,-15,-24,-14,-23,-14,-24,-14,-24,-15,-21,-15,-23,-14,-22,-14,-21,-13,-20,-13,-21,-13,-21,-12,-20,-11,-21,-11,-21,-12,-21,-11,-20,-9,-19,-11,-23,-12,-22,-11,-21,-10,-21,-10,-21,-8,-22,-8,-23,-8,-23,-6,-23,-7,-23,-6,-22,-3,-24,-4,-24,-1,-23,-1,-23,0,-21,0,-20,1,-21,3,-19,3,-18,4,-16,6,-15]"
54161,117,"[8,-9,9,-9,10,-10,11,-11,13,-11,14,-9,15,-9,14,-9,16,-9,16,-8,16,-8,17,-6,17,-8,18,-7,18,-7,18,-6,19,-6,18,-6,19,-7,18,-6,20,-6,19,-6,19,-6,20,-6,20,-6,18,-7,19,-6,19,-7,19,-7,20,-9,19,-7,21,-8,20,-9,20,-9,22,-10,23,-9,21,-10,22,-11,22,-11,23,-13,23,-14,22,-12,24,-13,25,-15,25,-14,25,-14,25,-16,27,-16,28,-16,28,-17,28,-17,28,-17,28,-18,29,-17,29,-20,30,-19,30,-20,0,0,0,0,0,0,-21,-30,-22,-29,-21,-29,-20,-29,-20,-27,-21,-27,-20,-25,-22,-26,-20,-26,-19,-26,-18,-25,-19,-23,-19,-24,-20,-23,-20,-22,-19,-21,-21,-20,-19,-21,-18,-21,-17,-19,-19,-18,-18,-19,-18,-17,-18,-18,-17,-18,-19,-17,-16,-16,-18,-16,-17,-16,-17,-15,-16,-16,-17,-16,-19,-16,-18,-16,-16,-15,-17,-16,-17,-16,-17,-16,-18,-16,-17,-16,-16,-16,-16,-16,-16,-17,-16,-16,-16,-17,-15,-16,-15,-18,-15,-18,-12,-19,-10,-17,-10,-18,-9,-18,-8,-18,-7,-17,-6,-18,-4,-16,-2,-16]"
54162,117,"[-9,8,-10,9,-11,9,-13,9,-14,9,-16,8,-16,8,-16,7,-17,6,-16,6,-17,6,-19,5,-18,6,-18,4,-19,4,-19,2,-20,2,-19,2,-18,2,-19,1,-19,2,-21,3,-19,1,-21,0,-21,2,-20,1,-21,1,-20,1,-20,1,-21,2,-20,1,-22,2,-22,2,-21,2,-23,3,-24,2,-24,3,-24,3,-24,3,-25,5,-26,5,-26,4,-27,4,-28,6,-29,5,-29,4,-29,4,-31,5,-31,6,-31,7,-32,6,-32,6,-33,7,-33,6,-33,8,-33,7,-33,8,0,0,0,0,0,0,8,35,7,35,9,35,6,34,6,33,7,34,7,33,8,33,8,32,6,33,7,33,5,31,8,29,6,31,7,31,7,27,7,28,7,27,6,27,6,26,7,26,6,26,8,25,7,24,6,24,7,25,5,24,6,24,7,22,6,22,3,24,5,22,7,22,7,22,5,21,6,24,5,22,6,23,5,23,4,23,4,23,4,24,4,24,3,22,2,24,0,22,0,24,0,23,0,23,-1,22,-2,22,-2,20,-5,19,-5,18,-6,17,-6,16,-7,14]"
54163,117,"[-10,-8,-9,-10,-9,-10,-9,-12,-8,-13,-7,-14,-8,-16,-6,-16,-7,-17,-6,-17,-5,-17,-4,-17,-4,-19,-2,-20,-1,-20,-2,-18,-1,-19,0,-19,0,-20,0,-20,0,-20,0,-21,0,-19,0,-20,0,-19,0,-19,1,-19,0,-20,1,-20,2,-22,2,-21,2,-23,2,-23,2,-22,2,-24,2,-24,1,-23,1,-24,2,-25,3,-26,3,-27,3,-26,3,-26,2,-27,3,-30,3,-29,4,-28,4,-30,4,-32,6,-31,5,-33,4,-32,6,-33,7,-33,7,-34,6,-34,8,-34,0,0,0,0,0,0,-35,-11,-34,-9,-33,-10,-33,-9,-33,-9,-32,-10,-32,-10,-33,-11,-31,-11,-31,-10,-30,-12,-29,-11,-29,-11,-28,-10,-29,-11,-26,-10,-27,-11,-26,-11,-26,-11,-25,-10,-25,-9,-23,-10,-23,-10,-24,-11,-23,-11,-23,-12,-21,-10,-21,-8,-21,-10,-20,-10,-20,-11,-20,-10,-20,-11,-20,-11,-19,-11,-20,-12,-19,-13,-19,-12,-19,-13,-17,-13,-18,-13,-16,-15,-18,-15,-16,-16,-16,-16,-16,-17,-15,-16,-13,-18,-12,-18,-12,-19,-10,-18,-8,-18,-6,-18,-5,-17,-4,-17,-3,-16,-1,-16]"
54164,117,"[-12,6,-12,6,-13,5,-14,6,-16,5,-15,5,-16,6,-16,5,-16,6,-18,4,-18,6,-18,6,-18,6,-19,7,-18,4,-18,6,-17,7,-17,7,-18,6,-18,6,-19,7,-19,9,-18,8,-18,8,-18,9,-16,12,-17,10,-16,12,-16,12,-16,12,-15,13,-16,16,-16,16,-16,16,-16,17,-15,18,-15,18,-15,20,-15,22,-13,23,-13,22,-12,23,-11,25,-11,26,-10,27,-10,27,-8,28,-7,28,-9,30,-7,33,-5,33,-3,31,-3,33,-3,33,-2,33,-1,34,0,35,0,0,0,0,0,0,35,-2,36,-4,34,-5,34,-5,34,-8,33,-9,33,-9,33,-11,31,-11,29,-12,29,-12,28,-13,27,-14,27,-16,25,-16,24,-16,24,-16,21,-17,23,-17,20,-17,18,-18,18,-18,16,-17,18,-18,16,-19,16,-18,15,-20,14,-19,14,-19,10,-20,11,-19,10,-20,10,-21,9,-20,7,-19,10,-21,8,-22,7,-22,8,-21,7,-22,6,-22,6,-22,6,-22,6,-21,6,-22,5,-22,6,-21,6,-22,6,-20,6,-20,6,-19,7,-20,9,-16,7,-17,8,-16,8,-15,7,-14]"
54165,117,"[4,11,7,13,5,12,5,14,5,15,4,16,4,17,4,17,3,18,2,17,2,18,1,20,2,19,1,20,2,20,1,20,2,20,2,19,3,19,3,20,4,19,3,19,3,20,3,19,4,19,4,21,5,21,7,21,6,20,6,20,7,19,8,21,9,19,9,20,10,21,11,22,12,21,12,21,12,21,13,22,15,20,16,22,17,23,18,22,18,22,19,22,20,22,22,22,21,22,22,21,23,22,24,22,26,22,26,22,26,21,27,20,28,19,0,0,0,0,0,0,19,-29,18,-30,16,-30,16,-31,17,-31,13,-32,13,-29,13,-31,11,-31,12,-31,11,-29,10,-28,10,-28,8,-29,7,-29,7,-27,6,-28,6,-26,5,-26,3,-26,4,-26,2,-25,0,-25,1,-25,0,-24,0,-24,0,-23,0,-22,0,-22,0,-22,-1,-23,-2,-22,-2,-22,-3,-22,-2,-22,-3,-23,-4,-22,-5,-21,-4,-22,-4,-22,-3,-22,-3,-22,-3,-21,-3,-22,-4,-22,-2,-22,-2,-22,-2,-22,-1,-22,-1,-22,0,-21,0,-20,0,-19,0,-18,1,-17,2,-16,2,-15]"
54166,117,"[-13,1,-14,0,-14,0,-16,0,-16,-2,-16,-1,-16,-5,-16,-6,-17,-7,-16,-8,-17,-8,-16,-10,-16,-10,-16,-10,-16,-11,-15,-12,-16,-13,-15,-11,-13,-14,-14,-15,-14,-15,-14,-14,-13,-14,-13,-16,-14,-15,-13,-15,-13,-16,-13,-16,-12,-17,-12,-16,-14,-16,-13,-17,-13,-18,-14,-17,-13,-19,-15,-19,-14,-18,-15,-19,-14,-20,-15,-22,-14,-23,-13,-21,-15,-23,-15,-24,-14,-24,-15,-25,-15,-26,-14,-27,-15,-27,-13,-28,-15,-29,-15,-29,-14,-30,-14,-31,-15,-32,-14,-32,-14,-31,0,0,0,0,0,0,-33,11,-33,10,-33,11,-33,10,-33,10,-33,10,-32,8,-32,8,-32,8,-31,6,-31,5,-30,6,-30,6,-30,4,-30,5,-30,4,-28,5,-28,5,-28,3,-27,3,-26,4,-25,3,-24,1,-25,0,-24,0,-24,0,-24,1,-23,0,-23,0,-23,0,-23,0,-24,0,-23,0,-22,0,-22,0,-23,-2,-23,-3,-22,-3,-25,-4,-21,-3,-22,-4,-22,-5,-22,-5,-22,-5,-21,-7,-20,-8,-19,-9,-19,-11,-18,-12,-17,-12,-16,-13,-15,-13,-12,-14,-12,-15,-10,-14,-9,-15,-7,-14]"
54167,117,"[3,-12,4,-14,5,-14,5,-15,6,-14,7,-16,7,-16,7,-16,9,-16,9,-16,10,-17,9,-16,9,-17,9,-16,8,-18,9,-16,9,-16,9,-17,8,-17,10,-16,8,-17,8,-16,6,-19,7,-17,6,-18,5,-18,5,-20,4,-20,4,-19,3,-20,3,-21,2,-22,1,-21,1,-21,0,-23,0,-25,0,-24,-1,-24,-1,-25,-3,-25,-3,-26,-5,-25,-6,-27,-6,-27,-6,-29,-9,-28,-9,-27,-11,-29,-11,-29,-13,-28,-14,-29,-15,-28,-16,-30,-16,-29,-18,-28,-20,-29,-18,-29,0,0,0,0,0,0,-27,22,-27,23,-24,25,-23,25,-25,26,-22,26,-20,25,-20,25,-18,25,-18,26,-18,26,-16,25,-16,27,-14,26,-14,27,-12,26,-10,27,-9,25,-9,26,-8,26,-6,26,-7,25,-5,23,-5,24,-4,24,-3,24,-2,24,-1,23,-1,23,0,23,0,23,1,24,2,23,1,23,1,22,1,23,1,23,3,22,3,22,3,21,5,21,4,22,3,22,4,22,3,22,5,22,4,22,3,22,3,22,3,21,1,21,1,20,0,19,0,17,0,18,0,16,0,16]"
